nama_tempat,user,review,rating
Mie Gacoan Bandung - Buah Batu,Diana,suasananya oke banget!! rame tapi gak sampe membludak berisik gitu. cuacanya mendukung juga buat stay lama lama sambil nungguin travel yang berangkat dua jam kemudian.,5
Mie Gacoan Bandung - Buah Batu,Ryon Salim,Memuaskan banget pelayanan nya makanan cepet hanya saja jukir meresahkan minta tarif pakir 3k motor bener 2 pungli nya biasanya di gerai lain 2k saja saran kepada manajemen gacoan mohon parkiran feee saja jangan ada tukang parkir mengganggu  Terimakasih,5
Mie Gacoan Bandung - Buah Batu,Sonny Heriawan,"Saudara-saudara sekalian,
Hadirin yang saya hormati, serta para pencinta kuliner sejati, izinkan saya berbicara tentang sebuah tempat yang kini menjadi perbincangan hangat di kalangan …",5
Mie Gacoan Bandung - Buah Batu,Happy Velice,"Tempatnya luas, makanannya kaya agak asam di cabainya, tidak seperti mie gacoan biasa. Pelayanan kurang, minta asbak juga tidak ada, malah dikasih plastik sambal, jadi terbang duluan sebelum dipakai.",4
Mie Gacoan Bandung - Buah Batu,Novia aprln,"tempatnya nyaman banget, pelayanannya juga pada ramah, untuk kaka kaka clear up nya juga gercep buat beresin yang kotor"", untuk rasanya enak dibanding gacoan yg sebelumnya' saya cobain",5
Mie Gacoan Bandung - Buah Batu,Nining Maedah,"Sumpah baru kali ini makan gacoan seburuk ini pelayanan nya.
Biasa nya mie yang di pesan yang gacoan gak terlalu pias warna nya pedas nya pas dengan perpaduan. Ini terlalu pedas kayak kurang takaran kecap nya. …",1
Mie Gacoan Bandung - Buah Batu,Ervi Nurvanita,"Pertama kali kecewa makanan gak bersih. Di mie ada rambut, di dalem udang keju ada rambut juga (pendek) kemungkinan potongan rambut laki laki. Jd gk selera makan huft, pindah tmpt aja lah ke sebelah",3
Mie Gacoan Bandung - Buah Batu,Chelsea Downs,"dimohon untuk pegawainya dijaga attitudenya dikarenakan kita juga beli bukan minta,kurang-kurangin deh julitnya. hati-hati bisa kehilangan pekerjaan 🙏 …",2
Mie Gacoan Bandung - Buah Batu,Brahmantia Muda,Standar SOP Gacoan Orderan perlu nunggu bentaran. Harus rada sabar kalau lagi rame. Parkir susah.,3
Mie Gacoan Bandung - Buah Batu,Khazanah Fadhilah N,"Cabang Mie Gacoan di persimpangan Soekarno-Hatta, Buah Batu. Posisi strategis, terlihat ramai karena harganya yang murah meriah untuk anak muda. Untungnya tidak sampai antre berjam-jam untuk pesan dan makanan cepat jadi. Herannya Mie Gacoan …",4
Mie Gacoan Bandung - Buah Batu,Vozter Stronger,pelayanannya sangat baik mas mba nya ramah2 jadi gaakan bosen kalo datang ke gacoan buah batu kk yang pake vest abunya juga cantik dan baik❤️❤️,5
Mie Gacoan Bandung - Buah Batu,Daris Sammuzaki,"Baru pertama GACOAN BOJONGSOANG cuman masalah di apikasi salah pesen level 0 (harusnya level 2), padahal tinggal tambahin level pedes 2 ko gabisa… malah disuruh buat beli level 6 supaya bisa nyampur pedes nya …. …",1
Mie Gacoan Bandung - Buah Batu,Devi Iklimah,"Tukang parkir , manager / pengelola tidak ada tanggung jawab nya ke custemer nya sendiri , buat apa ada tukang parkir bayar tp kehilangan barang ga ada tanggung jawab nya sama sekali , sekalian gausah ada tukang parkir , tugas tukang parkir …",1
Mie Gacoan Bandung - Buah Batu,Muhammad riizky,"Beli gacoan lv 1 buat di TA eh ga sesuai ekspektasi gaada rasanya (Hambar) cuman kerasa cengek doang terus lv 1 tapi cengek nya banyak banget, gridelnya ga di bersiin dulu kali jadi kecampur sama yg sebelumnya, padahal pas itu makan disana enak, gatau yg masaknya masih anak training kali yah",2
Mie Gacoan Bandung - Buah Batu,Farrel Danti Imani,"untuk gorengannya enak semua, tapi untuk main course nya tidak sesuai karena level 1 berasa seperti level 4, tolong di evaluasi lagi untuk karyawannya agar sesuai dengan level kepedasannya, karena di outlet lain level satu pedasnya tidak separah yang kemarin saya beli di outlet buah batu.",3
Mie Gacoan Bandung - Buah Batu,Mickel Yosua,Pelayanan nya bagus makanannya enak tempatnya bersih,5
Mie Gacoan Bandung - Buah Batu,budi santosa,"bayar parkir mahal, tapi ga ada jaminan buat kehilangan barang konsumen
hanya duduk terus mintain duit, giliran ada kehilangan ngga tanggung jawab
minta cctv alasa eror
parah si bagong",1
Mie Gacoan Bandung - Buah Batu,Aisya Istifari,"makanan nya enak bangettt, pelayanan juga cepet dan ramah ramah banget, harga juga super worth it bgt pas bgt di kantong pelajar.. pokonya cocok recommended bgt buat makan makan sama temen temen",5
Mie Gacoan Bandung - Buah Batu,Kerjakeras Dong,"Mie gacoan lv 8 nya selalu jadi pavorite deh pedes nya gak nanggung
Kalau yang ngga suka pedes bisa pesen mie suit aja",5
Mie Gacoan Bandung - Buah Batu,Arman Febrian,"dingin berangin karena saat itu lagi musim hujan terlebih mie gacoan ini bangunannya semi terbuka jadi angin nya lumayan langsung dari luar.
Makanan... yaaa... lumayan lah cukup memuaskan dengan tarif yang murah... …",5
Mie Gacoan Bandung - Buah Batu,meysha farmaqueensa,"Aku suka banget makan di Mie Gacoan! Tempatnya nyaman dan cocok buat nongkrong bareng teman. Menu andalanku tentu saja Mie Setan Level 2—pedasnya pas, bikin nagih tapi nggak bikin perut sakit. Harganya juga ramah di kantong, cocok banget …",5
Mie Gacoan Bandung - Buah Batu,gie,"Udh sering kesini tp baru kali ini nyoba ke toiletnya dan sholat di mushola, ternyata lumayan nyaman, toilet bersih, mushola bersih walaupun sempit, mukena bersih, ada tempat sepatu juga. Utk makanan spt biasa, rasanya konsisten, murah udh …",5
Mie Gacoan Bandung - Buah Batu,Silvia Aprili,"untuk makanan dengan harga segitu, oke banget ya worth it. untuk penyajian agak lama, aku ngerti dan wajar si soalnya banyak yg pesen. yg aku ga ngerti adalah kenapa pesenan take away segitu banyak, ga dibungkus2in dulu, terus dikasi. …",4
Mie Gacoan Bandung - Buah Batu,Pursita Wati,"Setelah sekian lama ga kesini, ternyata tempatnya masih enak nyaman untuk dibuat nongkrong apalagi dengan kondisi hujan makan mie gacoan makin mantap untuk dinikmati",5
Mie Gacoan Bandung - Buah Batu,Rina Septiani,Nyaman enak mie nya pelayanannya sangat cepat 👍🏼 …,5
Mie Gacoan Bandung - Buah Batu,junita kustianingsih,sekarang pangsit gorengnya rasanya enak. makanan bersih dan cepat pelayanannya. side dish enak2 disini.,5
Mie Gacoan Bandung - Buah Batu,Andre Andreansyah,"Tolong di evaluasi untuk pelayanannya , saya Dateng jam 1 malem , kondisi ga terlalu rame cenderung sepi tapi penyajiannya lama bgt , karyawan seperti kurang inisiatif . Padahal lumayan sering makan di gacoan di cabang lainya , tapi untuk di cabang ini cukup kali ini aja deh",2
Mie Gacoan Bandung - Buah Batu,Bahagia Project,Makanan yah lumayan lah dengan harga yang terjangkau dan tempat nya pun cukup luas ada yg outdoor dan indoor nya..,5
Mie Gacoan Bandung - Buah Batu,Muhammad Yaksan,tempatnyaa ena nyamannn ramah ramah debst bnget pokonyaaa gacoan terenak meneurut saya dibubt nyaman juga kasirnya ramah pelayanya juga yang pake rompi abunyaa,5
Mie Gacoan Bandung - Buah Batu,Belinda Ivana,Saat datang kebetulan ga terlalu ramai karena masih bulan puasa. Antrian order ga terlalu panjang. Jadi saat datang harus langsung antri di kasir untuk order setelah itu baru dikasi nomer untuk disimpan di meja bagi yang dine in. Kalau take …,3
Mie Gacoan Bandung - Buah Batu,Pandhu W,"Mie nya sih enak. Suka banget sama pangsitnya. Dan yang jelas harga bersahabat.
Ramai banget pas datang kesini sekitar jam 8 malam.",5
Mie Gacoan Bandung - Buah Batu,Oky Nuryadi,"1 orderan 45 menit Restoran ngeri boss micen2 waktu driver !
Bintang 0 lamun aya mah 👍 …",1
Mie Gacoan Bandung - Buah Batu,Asih monmont,"Dateng rame2, langsung disambut dibantuin nyiapin tempat karna kita ber 35... Meski milih pesennya agak lama krna harus list dulu satu2 ditungguin doong sama waiters nya, tempatnya luas anak2 juga happy.. oke banget pelayanan memuaskan garcep jugaa... Makasih gacoan mantap pokoknya 👍🏻 …",4
Mie Gacoan Bandung - Buah Batu,Asri Diandini,"Rasanya enak bangett,tempatnya lumayan strategis kejangkau damri,pelayanannya ramah bangett,request kalo malem adain konser dong kayak jkt48,bts,blackpink,dll:)",5
Mie Gacoan Bandung - Buah Batu,Vallen Anjani,"PELAYANAN SANGAT TIDAK RAMAH, aku udaa sering ke gacoan dan ya pelayanannya digacoan buah batu ramah apa lagi kasirnya ramah banget, pas kebetulan tadi aku pesen untuk dibawa pulang pas waktunya aku di panggil buat ambil makananya ada satu …",5
Mie Gacoan Bandung - Buah Batu,Hanafi khalif,"Setelah sekian lama Mie Gacoan buka di Buah Batu, akhirnya dapat kesempatan untuk mencoba Mie Gacoan cabang Buah Batu. Beli takeaway karena maunya makan di kantor masih ada kerjaan. Meski pesan pada saat siang sebelum tengah hari, tetap …",4
Mie Gacoan Bandung - Buah Batu,Kriza 7j,"Rasa mie nya biasa aja, udang kejunya doang yg bikin nagih.",5
Mie Gacoan Bandung - Buah Batu,Alpiani Nurul hodizah,"bad banget pelayananya dari awal masuk parkiran sampe keluar parkiran diliatin trus sama beberapa crew dan kasir nya grgr pake pake pakaian gunung, mungkin kedepanya bisa di tingkatan lagi pelayanan",1
Mie Gacoan Bandung - Buah Batu,Fajar Firmansyah,"Bintang satu masa parkir saya kasih tapi waktu mau nyebrang gak ada yang bantuin, terus kalo ada kehilangan barang masa gak mau tanggung jawab pihak resto",1
Mie Gacoan Bandung - Buah Batu,Iit Lita Apriani,"Cocok untuk para pecinta mie pedas. Tempatnya luas dan nyaman, sama seperti gacoan pada umumnya. Harga murah meriah hanya 10rban saja. Tapi parkirnya mahal, dipatok harus 3rb, padahal biasanya 2rb.",5
Mie Gacoan Bandung - Buah Batu,Who Dis ?!,"Makananya enak,pelayanannya cepet rame juga tpi pelayannanya cepet,tempatnya enak bersih nyaman bikin petah pokonyaaa gacoan terdebess kayanya dibandung jdi tempat makan paporit aku deh kayanya inii",5
Mie Gacoan Bandung - Buah Batu,Dede Fitri,"Masya Allah pelayanannya baik, staf² ramah,Mkanan enak dan murah sangat recomend buat para gen z sekrng",5
Mie Gacoan Bandung - Buah Batu,Zoya Ramadhani,enak bnget nyaman ademm cepet makannyak. pelayanannya enak ramah bess bnget buat gacaon bubat deh …,5
Mie Gacoan Bandung - Buah Batu,Asep Sopian,makanan nya enak cuma pelayanan nya jelek pada jutek mohon di perbaiki lagi Adain fasilitas buat charge biar enak gaada colokan sama sekali klo mau kesini pastiin batre kalian full charge ya!,1
Mie Gacoan Bandung - Buah Batu,Naila Affradita,enakk bangett nyaman jugaaa tempat nyaa pelayanan nya juga cepettt dateng nya ga lama,5
Mie Gacoan Bandung - Buah Batu,Anggraini Ainur Sadiyah,"buka 24jam kan yaa? tp meja udh pd ditutupin, udh ga dibolehin ditempatin alasan sdh dibersihkan.. minta sendok ke pelayan nya pun lgsg pergi begitu saja ga didenger. clear up ga selesai setengah setengah alasan ""sbntr ya ka"" sy paham pelayanan tp kalau emg lg ada yg diminta customer tlong didnger dlu, terimakasih.",1
Mie Gacoan Bandung - Buah Batu,Genta Surya Saputra,"Kasian banget uy yg kehilangan hp sama helmnya tapi dengan alasan cctv hilang, semoga managernya bisa liat ini postingan ini",1
Mie Gacoan Bandung - Buah Batu,Winda Gustini,"tdi siang saya makan di gacoan buah batu ada pengalaman kurang memuaskan yang 1 kasir nya judes dan kurang ramah
2 ada tisu cuman 1 lembar sedangkan saya makan 2 orang masa saya ngelap ke baju
3 di piring dan gelas nya kotor / berminyak sangat jorok sekali,sngtbd sayangkn sekali",1
Mie Gacoan Bandung - Buah Batu,rivaldi permana,Untuk makanannnya enak rapi bersih. Lalu layanannya cepat pegawainya pun ramah ramah. Suasananya cocok banget buat berdua bareng pacar atau sama keluarga. Recommanded!,5
Mie Gacoan Bandung - Buah Batu,Reni Sujinah,"Makanannya enak, Minumannya juga enak, ngga asal jadi
Pelayanannya cepat
Tempatnya luas dan tidak antri panjang",5
Mie Gacoan Bandung - Buah Batu,Claudia Febby Maharanie,"Dimanapun lokasinya, nyatanya gacoan tidak pernah gagal. Ya allah aku selalu suka sama menu gacoan dimana pun itu, mau yang di Bandung, Bali tetep enak. Paling yang membedakan hanya tekstur atau tingkat kematangan Mienya saja. Untuk …",5
Mie Gacoan Bandung - Buah Batu,Sofianingrum Andriana,"Malam2 bingung mau makan apa,melipir deh kesini.Secara biasanya ruameee buangett..Untunglah ga terlalu panjang antriannya.Mienya enak,cb yg mie angel,mie setan lv 4 dan mie iblis lv 4.dimsumnya siomay. Minumannya es tuyul,es jeruk n es teh …",5
Mie Gacoan Bandung - Buah Batu,Salwa Afia,"tempatnya bagus bersih, terus pesanannya juga cepat sampenya gak lama, sama makanannya selama ini enak sih gak mengecewakan.",5
Mie Gacoan Bandung - Buah Batu,Nsjs Jsis,"wkwk , parkir bayar ga guna, tukang parkir kerjaanya duduk doang. Ada kehilangan diem aja planga plongo, pihak mangementnya diem aja lagi",1
Mie Gacoan Bandung - Buah Batu,ADY PRATASTYA,"Pelayanan nya ramah, harganya ramah di kantong n makanan enak enakkk bangett, tempatnya jugaa nyaman",5
Mie Gacoan Bandung - Buah Batu,somethingl madefor,"Tempatnya nyaman,pelayananya enak ramah makannanya juga enak tempat nongkrong terdebes di bubat udah makanannya murah cuman 10kan rekom sih buah pelajara emng debes sih gacoan",5
Mie Gacoan Bandung - Buah Batu,Caroline Puji Hoseani,"pelayanan buruk bgt. saya pesan dan nunggu jam 6 kurang, waktu mau berbuka puasa. setengah jam setelah itu ada anak sekolah yg duduk disebelah saya, tapi pesanannya cepat datang. saya lebih dulu pesan tapi pesanan saya belum sampai juga. …",1
Mie Gacoan Bandung - Buah Batu,Aprilia Synthia Dewi,"First time dine in di cabang ini, seringnya  order via ojol, ternyata lebih enak dine in yaa bumbunya lebih berasa banyak, pelayanan cepat, crewnya ramah, tempat duduk juga banyak, semua oke, cuma kebetulan ngga ada tissue mungkin belum direfill. Tp so far so good ..",5
Mie Gacoan Bandung - Buah Batu,lizayati link,"Lokasinya strategis, tempatmya bersih dan pelayanannya cepat, good job 👍 …",5
Mie Gacoan Bandung - Buah Batu,Dimas Agy,"Mie Gacoan yang familiar, semua kota besar ada cabang nya dengan tingkat okupansi yang tinggi, selalu antri untuk membeli mie gacoan.. karena mie gacoan bisa dikategorikan mie pedas nya enak dan murah meriah utk semua kalangan.. outlet nya …",5
Mie Gacoan Bandung - Buah Batu,cecilia on,"AKU KETINGGALAN BANGET BARU COBA GACOAN !! soalnya selalu ngurungin niat takut lama lah takut penuh kursinya , eh pas tadi datang ( SABTU JAM 10 AN ) terbilang sangat cepat loh, antrian untuk yg Dine in juga sat set, mas nya nanya nya cepet …",5
Mie Gacoan Bandung - Buah Batu,you tube,"MINTA TOLONG KEPADA PIHAK MANAJEMEN GACOAN BUAT TINDAK LANJUTI TUKANG PARKIR YANG PAKE BAJU OREN, SAYA GAPUNYA CASH CUMAN ADA 1 RIBU, SAYA KASIH KE ORANGNYA DENGAN SOPAN MAAF ADA SERIBU SOALNYA GAPUNYA CASH, TERUS S MANG PARKIRNYA MAKSA HARUS 2 REBU UDA DIBILANG GADA CASH, PERASAAN TUKANG PARKIR YANG LAIN NERIMA2 AJA",1
Mie Gacoan Bandung - Buah Batu,rizki Khoirul,"makanan nya enak tempat nya juga bagus, buat tempat nya juga lumayan lega, enak juga buat main sama temen jangan lupa ya mampir ke mie gacoan buah batu",5
Mie Gacoan Bandung - Buah Batu,Qyanu Yuwan,"pokonya pelayanan bagus terutama yang namanya ikiips,lopyu pokonya buat dia🤪 …",5
Mie Gacoan Bandung - Buah Batu,lilis Kholisoh,Rekomen bangettt pokonyaaaa🥰 …,5
Mie Gacoan Bandung - Buah Batu,Wiwit Wulandari,Untuk harga memang Murmer makanya cabang dimanapun selalu ngantri tapi untuk rasa menurut aku agak kurang padahal udah coba di beberapa cabangnya kali aja beda tangan beda rasa ternyata standar begitu .. dan mengapa suasana tempat makannya …,3
Mie Gacoan Bandung - Buah Batu,Christie Jung,"Tempat ny luas, bersih, kemaren datang jam 4an, dan ga bgtu lama ngantri nyaa..

Untuk makanan nya, dengan harga sekitar 10ribu, termasuk murah, mie ny tipe mie …",5
Mie Gacoan Bandung - Buah Batu,Ria Tamalia,"Baru buka kemarin jadi saran bayar pake cash atau qris, biasanya kalo baru buka tuh blm bisa pake debit. Gacoan dimana mana selalu rame, bisa diliat parkiran luas juga penuh sama kendaraan. Makanan sama ko kaya gacoan cabang lain, mushola bersih.",5
Mie Gacoan Bandung - Buah Batu,maya neta,"Pelayanannya kurang crew nya pada ngeliatan dengan tatapan sinis kurang enak, tambah lgi musiknya ke kencengan dengan lagu yg ga enk di dengr saat makan lebih di tingkatkan lagi pelayanannya🙏🏻 …",1
Mie Gacoan Bandung - Buah Batu,Regina Earlyta,"enak banget makanannya suasana nya juga bikin nyaman pelayanannya sangat baik sekali, semoga gacoan buah batu makin sukses dan semakin berkembang yaa",5
Mie Gacoan Bandung - Buah Batu,Ranti Huri,"Antriannya panjang karena rame banget, tapi pelayanannya bagus jadi nunggunya tidak terlalu lama. Makanannya juga enak, terutama dimsum sama pangsit gorengnya harganya murah. Tempatnya terbilang nyaman buat buat nongkrong bareng-bareng …",5
Mie Gacoan Bandung - Buah Batu,Dian Prabowo1,"Makanannya enak enakkk, seruuu banget kemarin kesana banyakann, d tunjukin tempatt yg nyamann jugaaa",5
Mie Gacoan Bandung - Buah Batu,Sifa,"Pesan pas jam setengah 11 siang, meskipun suasananya ramai tapi pelayanannya cepat. Harganya murah meriah, worth to try untuk menu Mie Gacoan yang porsinya bikin kenyang, menu Udang Kejunya enak, recommended 👍🏻 …",5
Mie Gacoan Bandung - Buah Batu,hanobi,"udang keju nya enak banget, saya sampai mesen sebanyak inii",5
Mie Gacoan Bandung - Buah Batu,Errawan Sofyan,"Mie gacoan rasanya emg enak banget dengan harga yg sangat terjangkau, tempatnya nyaman. Rela antri setiap kesini 🌟
Sayangnya pegawai bagian bersihin meja kurang teliti, selama menunggu pesanan …",2
Mie Gacoan Bandung - Buah Batu,Rahma Annisa,"Tempatnya lumayan besar + nunggu makanannnya gk selama di cabang lainn, makanannya jg masih anget ^^",4
Mie Gacoan Bandung - Buah Batu,Silvia Permatasari,"Pertama makan disini pas lgi sepi, oke"" aja pesanan sesuai, ke2 kalinya pas lagi rame, trnyata sistemnya kacau, pesanan lama selesai trs yg dikasih malah gk sesuai level, pesen level 1 tah dikasih level berapa, alhasil gk kemakan karna kepedesan cok :)",2
Mie Gacoan Bandung - Buah Batu,Putu Mayang,"Makanan disini enak dan murah, bahkan sangat murah. Namun sayang sistem antriannya ada yang aneh sehingga di peak hours atau di hari weekend bisa terjadi antrian hingga keluar bangunan. …",4
Mie Gacoan Bandung - Buah Batu,Diny Natalia,"Makan ber10 tapi tempat duduk dikasih cuman ber 6 duduk ditempat lain malahan diusir.
Lagi makan diusir dan ga ada minta maaf sama sekali …",1
Mie Gacoan Bandung - Buah Batu,Ajeng Triunas,"dateng lebih dulu udah duduk 20 menit buat nunggu pesenan, tiba tiba disuruh pindah tempat duduk cuman karena duduk berdua di kursi panjang, tiba tiba ada cewe cowo ber 4 langsung nempatin bilang udah di booking padahal mereka baru dateng …",1
